,2022,name,Tuition,Enrollment Numbers
273,263,university of north florida,20793,14550
274,263,university of the incarnate word,33100,5081
275,263,western michigan university,17591,16554
276,277,campbell university,38160,3720
277,277,concordia university wisconsin,31952,3095
278,277,florida atlantic university,21655,25562
279,277,gardner webb university,31960,1999
280,277,louisiana tech university,19548,10013
281,277,north carolina agricultural and technical state university,20243,11130
282,277,north dakota state university main campus fargo,14471,10555
283,277,regent university,18820,4539
284,277,tennessee technological university,16027,8778
285,277,university of montana,28252,6975
286,277,university of north texas,24234,32694
287,288,dallas baptist university,33620,2874
288,288,east tennessee state university,27406,10705
289,288,long island university,39920,10403
290,288,marshall university,19606,8771
291,288,middle tennessee state university,29584,19188
292,288,northern arizona university,26642,25230
293,288,portland state university,23769,18959
294,288,south dakota state university,12809,9976
295,288,university of hawaii at hilo,20798,2671
296,288,university of puerto rico rio piedras,4198,11254
297,288,university of texas arlington,29299,35064
298,299,alliant international university,17190,249
299,300,andrews university,31008,1708
300,301,arkansas state university,16070,8486
301,302,augusta university,24210,5675
302,303,aurora university,25600,4104
303,304,barry university,30014,3523
304,305,benedictine university,34290,2299
305,306,boise state university,24988,20788
306,307,cardinal stritch university,34762,1068
307,308,carson newman university,31320,1722
308,309,clark atlanta university,24430,3096
309,310,cleveland state university,16480,11245
310,311,colorado technical university,12573,23430
311,312,daemen college,31250,1638
312,313,d'youville college,29998,1475
313,314,eastern michigan university,14090,13572
314,315,ferris state university,13290,9929
315,316,georgia southern university,21396,23469
316,317,grand canyon university,17800,58997
317,318,husson university,20430,2677
318,319,idaho state university,24494,10353
319,320,indiana state university,20570,8939
320,321,indiana university of pennsylvania,17464,8010
321,322,inter american university of puerto rico metropolitan campus,7584,5508
322,323,jackson state university,9445,4668
323,324,keiser university,34968,17490
324,325,kennesaw state university,21616,37390
325,326,lamar university,22826,8555
326,327,liberty university,24910,47988
327,328,lindenwood university,18640,4822
328,329,mary baldwin college,31085,1477
329,330,metropolitan state university of denver,15673,6770
330,331,mississippi college,20302,2757
331,332,missouri state university,16608,19801
332,333,morgan state university,18480,6270
333,334,national louis university,11325,3604
334,335,northern illinois university,12478,12277
335,336,northern kentucky university,20448,11507
336,337,oakland university,24708,15100
337,338,our lady of the lake university,29926,1294
338,339,palm beach atlantic university,34136,2916
339,340,pontifical catholic university of puerto rico ponce,5510,5346
340,341,roosevelt university,31493,2997
341,342,southern illinois university edwardsville,12300,9942
342,343,spalding university,25975,925
343,344,stephen f austin state university,21616,11494
344,345,tennessee state university,21910,6000
345,346,texas a&m university commerce,22266,8062
346,347,texas a&m university corpus christi,23367,8483
347,348,texas a&m university kingsville,23106,5674
348,349,texas southern university,21443,5298
349,350,texas state university,24091,33193
350,351,texas wesleyan university,33408,1480
351,352,texas woman's university,22474,10656
352,353,trevecca nazarene university,26898,2095
353,354,trinity international university,33298,722
354,355,union institute and university,15686,604
355,356,universidad ana g mendez gurabo campus,5820,12508
356,357,university of akron,15410,13651
357,358,university of alaska fairbanks,-1,6206
358,359,university of arkansas little rock,18957,7006
359,360,university of bridgeport,-1,3233
360,361,university of central arkansas,16433,8615
361,362,university of charleston,31400,2115
362,363,university of colorado colorado springs,25600,10119
363,364,university of louisiana lafayette,24110,14020
364,365,university of louisiana monroe,21651,6859
365,366,university of mary,20628,2540
366,367,university of maryland eastern shore,18968,2070
367,368,university of michigan flint,24622,5424
368,369,university of new orleans,16762,6895
369,370,university of northern colorado,22496,8494
370,371,university of phoenix,9552,72485
371,372,university of south alabama,20840,9050
372,373,university of southern mississippi,11160,11451
373,374,university of tennessee chattanooga,25966,10341
374,375,university of texas san antonio,25920,29959
375,376,university of texas tyler,25016,7237
376,377,university of texas el paso,24952,21117
377,378,university of texas rio grande valley,18733,26762
378,379,university of the cumberlands,9875,3874
379,380,university of toledo,20818,14406
380,381,university of west georgia,21432,10331
381,382,university of wisconsin milwaukee,21119,20213
382,383,valdosta state university,17638,9570
383,384,washburn university topeka,19876,5064
384,385,western kentucky university,26496,15286
385,386,wichita state university,18166,12406
386,387,william carey university,14100,3264
387,388,william woods university,25930,873
388,389,wilmington university,11750,9230
389,390,wingate university,40170,2683
390,391,wright state university,19097,8332
391,392,brandman university,15480,6114
